SPEED,ACCELERATION,ALTITUDE,CLASS
1.6164,0,0,HHD
0,-0.4,1.8,HHD
0.7632,0.2,2.6,HHD
0.1944,-0.2,-2.3,HHD
1.5876,0.2,-2.7,HHD
0,-0.4,-0.6,HHD
0,0,-3.2,HHD
10.962,3,-0.1,HHD
5.0724,-1.6,0.4,HHD
2.5416,-0.7,-0.5,HHD
0.2016,-0.7,0.7,HHD
0.2484,0,-0.6,HHD
0.6624,0.1,-0.2,HHD
2.628,0.5,-0.1,HHD
2.4804,0,0,HHD
2.4264,0,0,HHD
2.1132,-0.1,0,HHD
0,-0.6,0,HHD
0,0,0,HHD
0,0,-0.4,HHD
0.3168,0.1,0.3,HHD
0.3276,0,0,HHD
0.2952,0,-2.1,HHD
0.2628,0,-1.2,HHD
0,-0.1,-2.5,HHD
0,0,-1.9,HHD
0,0,-1.5,HHD
0,0,0,HHD
0,0,0,HHD
0,0,0,HHD
0,0,0,HHD
0,0,0,HHD
0,0,0,HHD
0,0,0,HHD
0,0,0,HHD
0,0,0,HHD
0,0,0,HHD
0,0,0,HHD
0,0,0,HHD
0,0,0,HHD
0,0,0,HHD
0.9,0.3,-2.7,HHD
1.1556,0.1,0,HHD
1.4148,0.1,0,HHD
1.71,0.1,-0.1,HHD
2.214,0.1,0,HHD
2.7936,0.2,-0.2,HHD
0,-0.8,-0.1,HHD
4.086,1.1,-0.1,HHD
0,-1.1,-0.1,HHD
5.6376,1.6,-0.2,HHD
6.3648,0.2,-0.1,HHD
7.218,0.2,0,HHD
7.9416,0.2,0,HHD
8.6328,0.2,-0.1,HHD
9.3636,0.2,0,HHD
10.1016,0.2,-0.1,HHD
10.7964,0.2,-0.2,HHD
11.5524,0.2,0,HHD
11.9808,0.1,0,HHD
12.0744,0,0.3,HHD
11.9988,0,-0.1,HHD
11.8872,0,0.4,HHD
11.8548,0,0,HHD
12.0096,0,0.1,HHD
11.9412,0,-0.9,HHD
11.8116,0,-0.1,HHD
11.8728,0,-0.6,HHD
12.3084,0.1,-0.5,HHD
12.9816,0.2,0.1,HHD
13.8708,0.2,0.1,HHD
14.6052,0.2,0.4,HHD
15.1776,0.2,0.7,HHD
15.7068,0.1,-0.8,HHD
15.9804,0.1,-0.6,HHD
16.3188,0.1,-0.2,HHD
16.4772,0,-0.4,HHD
16.4304,0,-0.7,HHD
16.1568,-0.1,-0.6,HHD
15.8076,-0.1,-0.7,HHD
15.3792,-0.1,-0.9,HHD
15.2352,0,-0.3,HHD
15.4188,0.1,-0.3,HHD
15.6708,0.1,-0.3,HHD
15.9408,0.1,-0.4,HHD
16.0848,0,-0.4,HHD
16.2612,0,-0.4,HHD
16.5132,0.1,-0.3,HHD
16.4988,0,-0.3,HHD
16.4916,0,-0.1,HHD
16.3764,0,-0.4,HHD
16.0992,-0.1,-0.5,HHD
15.7248,-0.1,-0.3,HHD
15.3504,-0.1,-0.2,HHD
14.976,-0.1,-1.1,HHD
14.76,-0.1,-1,HHD
14.7816,0,-0.6,HHD
14.742,0,-1,HHD
14.508,-0.1,-0.7,HHD
14.1552,-0.1,-0.1,HHD
13.8312,-0.1,0.5,HHD
13.5432,-0.1,0.5,HHD
13.0752,-0.1,-0.4,HHD
12.5172,-0.2,0,HHD
11.9772,-0.2,0.3,HHD
11.2968,-0.2,0.4,HHD
10.44,-0.2,0.7,HHD
9.6228,-0.2,0.5,HHD
9.1764,-0.1,0.7,HHD
9.072,0,0.3,HHD
9.3204,0.1,0.5,HHD
9.5508,0.1,-0.2,HHD
10.0152,0.1,0.7,HHD
10.6452,0.2,0.3,HHD
11.376,0.2,0.8,HHD
12.3696,0.3,0.9,HHD
13.5396,0.3,0.8,HHD
14.8716,0.4,0.7,HHD
16.1496,0.4,0.5,HHD
17.2728,0.3,2.2,HHD
18.3096,0.3,2,HHD
19.3608,0.3,1.2,HHD
20.394,0.3,2,HHD
21.4272,0.3,1.3,HHD
22.3704,0.3,0.3,HHD
23.796,0.4,0.1,HHD
26.7372,0.8,0,HHD
25.0416,-0.5,-0.1,HHD
26.9712,0.5,0.7,HHD
26.9712,0,0.3,HHD
26.388,-0.2,-0.2,HHD
27.6552,0.4,0.4,HHD
26.3772,-0.4,0.3,HHD
26.0244,-0.1,0.2,HHD
23.6484,-0.7,-0.2,HHD
22.3884,-0.4,0.2,HHD
19.5048,-0.8,-0.2,HHD
16.8696,-0.7,0.4,HHD
15.9372,-0.3,0.3,HHD
16.7652,0.2,0.6,HHD
17.8956,0.3,0.5,HHD
19.8072,0.5,0.4,HHD
21.3192,0.4,-0.3,HHD
21.2508,0,-0.4,HHD
19.9764,-0.4,0.2,HHD
19.8828,0,0,HHD
20.2248,0.1,0.1,HHD
19.5228,-0.2,-0.2,HHD
19.4148,0,-0.5,HHD
20.88,0.4,0,HHD
20.9664,0,-0.3,HHD
21.3552,0.1,0.1,HHD
20.5704,-0.2,-0.1,HHD
20.9412,0.1,0.9,HHD
20.9736,0,0.2,HHD
21.8988,0.3,1.9,HHD
20.9772,-0.3,0.3,HHD
19.9296,-0.3,0.3,HHD
21.8916,0.5,0.3,HHD
22.2372,0.1,0.7,HHD
22.3668,0,0.6,HHD
25.4088,0.8,0.3,HHD
26.1936,0.2,0.8,HHD
26.8416,0.2,0.6,HHD
24.6528,-0.6,0.1,HHD
22.356,-0.6,-0.2,HHD
22.4316,0,0,HHD
21.0672,-0.4,0.1,HHD
19.7028,-0.4,0.5,HHD
19.8396,0,0,HHD
21.996,0.6,-0.1,HHD
21.2544,-0.2,-0.1,HHD
22.4928,0.3,-0.4,HHD
22.9104,0.1,-3,HHD
22.374,-0.1,-2.9,HHD
20.1672,-0.6,-1.8,HHD
21.0852,0.3,-0.3,HHD
20.5524,-0.1,-0.4,HHD
20.5704,0,-0.6,HHD
22.3848,0.5,-0.1,HHD
23.1084,0.2,0.3,HHD
21.6072,-0.4,-0.1,HHD
22.6728,0.3,-0.1,HHD
22.2804,-0.1,0.1,HHD
20.4768,-0.5,-0.3,HHD
19.5408,-0.3,-0.3,HHD
22.8852,0.9,-0.6,HHD
21.6468,-0.3,-0.1,HHD
21.546,0,-0.9,HHD
22.086,0.1,0.1,HHD
23.9004,0.5,0.3,HHD
24.4044,0.1,0.2,HHD
23.7132,-0.2,1,HHD
25.5384,0.5,1.1,HHD
25.4844,0,0.4,HHD
26.8704,0.4,0.5,HHD
26.8164,0,0,HHD
24.8832,-0.5,-0.3,HHD
24.0516,-0.2,0.2,HHD
23.22,-0.2,-0.1,HHD
21.8844,-0.4,0,HHD
23.5728,0.5,-0.4,HHD
22.7916,-0.2,1.5,HHD
22.1832,-0.2,-0.5,HHD
23.382,0.3,-0.4,HHD
